text_id,result_text_version,display_order,section,claim_kind,mode,factor_id,band,title_id,preview_allowed,text,status
title-balanced-subtitle,result-text-v1,1,titleSubtitle,entertainmentReason,,,,title-balanced,true,5因子がいずれも中間域にあるプロフィール,reviewed
title-balanced-reason,result-text-v1,2,titleReason,entertainmentReason,,,,title-balanced,true,今回の回答では、5因子すべてが称号判定上の中間域に入りました。,reviewed
title-single-intellectImagination-high-subtitle,result-text-v1,3,titleSubtitle,entertainmentReason,,,,title-single-intellectImagination-high,true,知性・想像力が高い方向のプロフィール,reviewed
title-single-intellectImagination-high-reason,result-text-v1,4,titleReason,entertainmentReason,,,,title-single-intellectImagination-high,true,今回の回答では、称号判定上、知性・想像力が高い方向に入りました。,reviewed
title-single-intellectImagination-low-subtitle,result-text-v1,5,titleSubtitle,entertainmentReason,,,,title-single-intellectImagination-low,true,知性・想像力が低い方向のプロフィール,reviewed
title-single-intellectImagination-low-reason,result-text-v1,6,titleReason,entertainmentReason,,,,title-single-intellectImagination-low,true,今回の回答では、称号判定上、知性・想像力が低い方向に入りました。,reviewed
title-single-conscientiousness-high-subtitle,result-text-v1,7,titleSubtitle,entertainmentReason,,,,title-single-conscientiousness-high,true,勤勉性が高い方向のプロフィール,reviewed
title-single-conscientiousness-high-reason,result-text-v1,8,titleReason,entertainmentReason,,,,title-single-conscientiousness-high,true,今回の回答では、称号判定上、勤勉性が高い方向に入りました。,reviewed
title-single-conscientiousness-low-subtitle,result-text-v1,9,titleSubtitle,entertainmentReason,,,,title-single-conscientiousness-low,true,勤勉性が低い方向のプロフィール,reviewed
title-single-conscientiousness-low-reason,result-text-v1,10,titleReason,entertainmentReason,,,,title-single-conscientiousness-low,true,今回の回答では、称号判定上、勤勉性が低い方向に入りました。,reviewed
title-single-extraversion-high-subtitle,result-text-v1,11,titleSubtitle,entertainmentReason,,,,title-single-extraversion-high,true,外向性が高い方向のプロフィール,reviewed
title-single-extraversion-high-reason,result-text-v1,12,titleReason,entertainmentReason,,,,title-single-extraversion-high,true,今回の回答では、称号判定上、外向性が高い方向に入りました。,reviewed
title-single-extraversion-low-subtitle,result-text-v1,13,titleSubtitle,entertainmentReason,,,,title-single-extraversion-low,true,外向性が低い方向のプロフィール,reviewed
title-single-extraversion-low-reason,result-text-v1,14,titleReason,entertainmentReason,,,,title-single-extraversion-low,true,今回の回答では、称号判定上、外向性が低い方向に入りました。,reviewed
title-single-agreeableness-high-subtitle,result-text-v1,15,titleSubtitle,entertainmentReason,,,,title-single-agreeableness-high,true,協調性が高い方向のプロフィール,reviewed
title-single-agreeableness-high-reason,result-text-v1,16,titleReason,entertainmentReason,,,,title-single-agreeableness-high,true,今回の回答では、称号判定上、協調性が高い方向に入りました。,reviewed
title-single-agreeableness-low-subtitle,result-text-v1,17,titleSubtitle,entertainmentReason,,,,title-single-agreeableness-low,true,協調性が低い方向のプロフィール,reviewed
title-single-agreeableness-low-reason,result-text-v1,18,titleReason,entertainmentReason,,,,title-single-agreeableness-low,true,今回の回答では、称号判定上、協調性が低い方向に入りました。,reviewed
title-single-emotionalStability-high-subtitle,result-text-v1,19,titleSubtitle,entertainmentReason,,,,title-single-emotionalStability-high,true,情緒安定性が高い方向のプロフィール,reviewed
title-single-emotionalStability-high-reason,result-text-v1,20,titleReason,entertainmentReason,,,,title-single-emotionalStability-high,true,今回の回答では、称号判定上、情緒安定性が高い方向に入りました。,reviewed
title-single-emotionalStability-low-subtitle,result-text-v1,21,titleSubtitle,entertainmentReason,,,,title-single-emotionalStability-low,true,情緒安定性が低い方向のプロフィール,reviewed
title-single-emotionalStability-low-reason,result-text-v1,22,titleReason,entertainmentReason,,,,title-single-emotionalStability-low,true,今回の回答では、称号判定上、情緒安定性が低い方向に入りました。,reviewed
title-pair-intellectImagination-high--conscientiousness-high-subtitle,result-text-v1,23,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--conscientiousness-high,true,知性・想像力が高く、勤勉性が高い方向のプロフィール,reviewed
title-pair-intellectImagination-high--conscientiousness-high-reason,result-text-v1,24,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--conscientiousness-high,true,今回の回答では、称号判定上、知性・想像力は高い方向、勤勉性は高い方向に入りました。,reviewed
title-pair-intellectImagination-high--conscientiousness-low-subtitle,result-text-v1,25,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--conscientiousness-low,true,知性・想像力が高く、勤勉性が低い方向のプロフィール,reviewed
title-pair-intellectImagination-high--conscientiousness-low-reason,result-text-v1,26,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--conscientiousness-low,true,今回の回答では、称号判定上、知性・想像力は高い方向、勤勉性は低い方向に入りました。,reviewed
title-pair-intellectImagination-low--conscientiousness-high-subtitle,result-text-v1,27,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--conscientiousness-high,true,知性・想像力が低く、勤勉性が高い方向のプロフィール,reviewed
title-pair-intellectImagination-low--conscientiousness-high-reason,result-text-v1,28,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--conscientiousness-high,true,今回の回答では、称号判定上、知性・想像力は低い方向、勤勉性は高い方向に入りました。,reviewed
title-pair-intellectImagination-low--conscientiousness-low-subtitle,result-text-v1,29,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--conscientiousness-low,true,知性・想像力が低く、勤勉性が低い方向のプロフィール,reviewed
title-pair-intellectImagination-low--conscientiousness-low-reason,result-text-v1,30,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--conscientiousness-low,true,今回の回答では、称号判定上、知性・想像力は低い方向、勤勉性は低い方向に入りました。,reviewed
title-pair-intellectImagination-high--extraversion-high-subtitle,result-text-v1,31,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--extraversion-high,true,知性・想像力が高く、外向性が高い方向のプロフィール,reviewed
title-pair-intellectImagination-high--extraversion-high-reason,result-text-v1,32,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--extraversion-high,true,今回の回答では、称号判定上、知性・想像力は高い方向、外向性は高い方向に入りました。,reviewed
title-pair-intellectImagination-high--extraversion-low-subtitle,result-text-v1,33,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--extraversion-low,true,知性・想像力が高く、外向性が低い方向のプロフィール,reviewed
title-pair-intellectImagination-high--extraversion-low-reason,result-text-v1,34,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--extraversion-low,true,今回の回答では、称号判定上、知性・想像力は高い方向、外向性は低い方向に入りました。,reviewed
title-pair-intellectImagination-low--extraversion-high-subtitle,result-text-v1,35,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--extraversion-high,true,知性・想像力が低く、外向性が高い方向のプロフィール,reviewed
title-pair-intellectImagination-low--extraversion-high-reason,result-text-v1,36,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--extraversion-high,true,今回の回答では、称号判定上、知性・想像力は低い方向、外向性は高い方向に入りました。,reviewed
title-pair-intellectImagination-low--extraversion-low-subtitle,result-text-v1,37,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--extraversion-low,true,知性・想像力が低く、外向性が低い方向のプロフィール,reviewed
title-pair-intellectImagination-low--extraversion-low-reason,result-text-v1,38,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--extraversion-low,true,今回の回答では、称号判定上、知性・想像力は低い方向、外向性は低い方向に入りました。,reviewed
title-pair-intellectImagination-high--agreeableness-high-subtitle,result-text-v1,39,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--agreeableness-high,true,知性・想像力が高く、協調性が高い方向のプロフィール,reviewed
title-pair-intellectImagination-high--agreeableness-high-reason,result-text-v1,40,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--agreeableness-high,true,今回の回答では、称号判定上、知性・想像力は高い方向、協調性は高い方向に入りました。,reviewed
title-pair-intellectImagination-high--agreeableness-low-subtitle,result-text-v1,41,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--agreeableness-low,true,知性・想像力が高く、協調性が低い方向のプロフィール,reviewed
title-pair-intellectImagination-high--agreeableness-low-reason,result-text-v1,42,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--agreeableness-low,true,今回の回答では、称号判定上、知性・想像力は高い方向、協調性は低い方向に入りました。,reviewed
title-pair-intellectImagination-low--agreeableness-high-subtitle,result-text-v1,43,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--agreeableness-high,true,知性・想像力が低く、協調性が高い方向のプロフィール,reviewed
title-pair-intellectImagination-low--agreeableness-high-reason,result-text-v1,44,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--agreeableness-high,true,今回の回答では、称号判定上、知性・想像力は低い方向、協調性は高い方向に入りました。,reviewed
title-pair-intellectImagination-low--agreeableness-low-subtitle,result-text-v1,45,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--agreeableness-low,true,知性・想像力が低く、協調性が低い方向のプロフィール,reviewed
title-pair-intellectImagination-low--agreeableness-low-reason,result-text-v1,46,titleReason,entertainmentReason,,,,title-pair-intellectImagination-low--agreeableness-low,true,今回の回答では、称号判定上、知性・想像力は低い方向、協調性は低い方向に入りました。,reviewed
title-pair-intellectImagination-high--emotionalStability-high-subtitle,result-text-v1,47,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--emotionalStability-high,true,知性・想像力が高く、情緒安定性が高い方向のプロフィール,reviewed
title-pair-intellectImagination-high--emotionalStability-high-reason,result-text-v1,48,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--emotionalStability-high,true,今回の回答では、称号判定上、知性・想像力は高い方向、情緒安定性は高い方向に入りました。,reviewed
title-pair-intellectImagination-high--emotionalStability-low-subtitle,result-text-v1,49,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-high--emotionalStability-low,true,知性・想像力が高く、情緒安定性が低い方向のプロフィール,reviewed
title-pair-intellectImagination-high--emotionalStability-low-reason,result-text-v1,50,titleReason,entertainmentReason,,,,title-pair-intellectImagination-high--emotionalStability-low,true,今回の回答では、称号判定上、知性・想像力は高い方向、情緒安定性は低い方向に入りました。,reviewed
title-pair-intellectImagination-low--emotionalStability-high-subtitle,result-text-v1,51,titleSubtitle,entertainmentReason,,,,title-pair-intellectImagination-low--emotionalStability-high,true,知性・想像力が低く、情緒安定性が高い方向のプロフィール,reviewed
